Sate,Abbr,Median_Income
Alabama,AL,47221
Arizona,AZ,57100
Arkansas,AR,45907
California,CA,66637
Colorado,CO,70566
Connecticut,CT,75923
Delaware,DE,58046
D.C.,,70982
Florida,FL,51176
Georgia,GA,53527
Hawaii,HI,72133
Idaho,ID,56564
Illinois,IL,61386
Indiana,IN,56094
Iowa,IA,59094
Kansas,KS,56810
Kentucky,KY,45369
Louisiana,LA,42196
Maine,ME,50856
Maryland,MD,73760
Massachusetts,MA,72266
Michigan,MI,57091
Minnesota,MN,70218
Mississippi,MS,41099
Missouri,MO,55016
Montana,MT,57075
Nebraska,NE,59374
Nevada,NV,55431
New Hampshire,NH,76260
New Jersey,NJ,68468
New Mexico,NM,48451
New York,NY,61437
North Carolina,NC,53764
North Dakota,ND,60184
Ohio,OH,53985
Oklahoma,OK,50943
Oregon,OR,59135
Pennsylvania,PA,60979
Rhode Island,RI,61528
South Carolina,SC,54336
South Dakota,SD,57450
Tennessee,TN,51344
Texas,TX,58146
Utah,UT,67481
Vermont,VT,60837
Virginia,VA,66451
Washington,WA,70310
West Virginia,WV,44354
Wisconsin,WI,59817
Wyoming,WY,57829

